,Spot,lat,lng,cat,hex_id_7,geometry_7,hex_id_8,geometry_8,centr7_lat,centr7_lng,centr8_lat,centr8_lng,Atracciones naturales,Cultural,Golf,Parques y ocio,Playas destacadas,Transporte,Zonas comerciales
0,Siam park,28.072088893438114,-16.725586226576503,Parques y ocio,87344124bffffff,"{'type': 'Polygon', 'coordinates': [((-16.721132175783016, 28.084976025899863), (-16.73118433745175, 28.074518987008574), (-16.72609750055084, 28.061732249789266), (-16.71096220955892, 28.059401772934383), (-16.70091020315603, 28.0698565734511), (-16.705993331668182, 28.082644088869475), (-16.721132175783016, 28.084976025899863))]}",88344124b5fffff,"{'type': 'Polygon', 'coordinates': [((-16.72614978705164, 28.077173893909194), (-16.73118433745175, 28.074518987008574), (-16.731166612769062, 28.069371667562784), (-16.726114927347854, 28.06687935617632), (-16.721080764679755, 28.069534046516477), (-16.72109789971153, 28.074681264780704), (-16.72614978705164, 28.077173893909194))]}",28.0721885273798,-16.716046402219025,28.072026570909518,-16.726132356181335,0,0,0,1,0,0,0
1,Loro parque,28.40840501425618,-16.56471690324008,Parques y ocio,87344cdb1ffffff,"{'type': 'Polygon', 'coordinates': [((-16.55522156495662, 28.41966760810706), (-16.565324880055474, 28.409219338817636), (-16.560246293423685, 28.396410306350635), (-16.545068140116985, 28.39404878995081), (-16.534965009022596, 28.404494829662983), (-16.540039846417688, 28.417304615022015), (-16.55522156495662, 28.41966760810706))]}",88344cdb15fffff,"{'type': 'Polygon', 'coordinates': [((-16.560269586919517, 28.411867310916772), (-16.565324880055474, 28.409219338817636), (-16.56531681840114, 28.40406690023683), (-16.560254057011843, 28.401562538147658), (-16.555199157535068, 28.40421029680599), (-16.5552066257997, 28.40936263097149), (-16.560269586919517, 28.411867310916772))]}",28.406857840612407,-16.550144059328723,28.40671487302978,-16.560261821510405,0,0,0,1,0,0,0
2,Las aguilas jungle,28.07976846851556,-16.69534026592233,Parques y ocio,873441249ffffff,"{'type': 'Polygon', 'coordinates': [((-16.695938288936947, 28.093098932593065), (-16.705993331668182, 28.082644088869475), (-16.70091020315603, 28.0698565734511), (-16.685775742076455, 28.06752312605602), (-16.675720858795266, 28.077975731643622), (-16.680800276333496, 28.090764022434126), (-16.695938288936947, 28.093098932593065))]}",8834412491fffff,"{'type': 'Polygon', 'coordinates': [((-16.690871595331117, 28.085457787194674), (-16.695906955766965, 28.08280435472227), (-16.695891291928138, 28.077657227879037), (-16.69084085726714, 28.075163635275235), (-16.68580588526437, 28.07781685159929), (-16.685820959500305, 28.082963876652666), (-16.690871595331117, 28.085457787194674))]}",28.080310657172628,-16.690856225401117,28.08031065717263,-16.690856225401102,0,0,0,1,0,0,0
3,Monkey park,28.06086590625847,-16.692223468849075,Parques y ocio,87344c516ffffff,"{'type': 'Polygon', 'coordinates': [((-16.70091020315603, 28.0698565734511), (-16.71096220955892, 28.059401772934383), (-16.70587959714573, 28.046615764078368), (-16.69074868616262, 28.04428377896874), (-16.68069683830594, 28.054736340757763), (-16.685775742076455, 28.06752312605602), (-16.70091020315603, 28.0698565734511))]}",88344c5169fffff,"{'type': 'Polygon', 'coordinates': [((-16.690825490928905, 28.070016721582135), (-16.695859969741218, 28.067363298775263), (-16.69584431139248, 28.062216496674026), (-16.69079476363835, 28.059723219127466), (-16.68576067312386, 28.062376425725414), (-16.685775742076455, 28.06752312605602), (-16.690825490928905, 28.070016721582135))]}",28.05706980297941,-16.695828654873146,28.064869916173002,-16.690810126386076,0,0,0,1,0,0,0
4,Karting club tenerife,28.051765956445024,-16.651206660922448,Parques y ocio,87344c515ffffff,"{'type': 'Polygon', 'coordinates': [((-16.6555120411152, 28.06285175420386), (-16.665566761668394, 28.052401387103398), (-16.660492080766172, 28.039615336381118), (-16.645366389971183, 28.03727888057133), (-16.63531183541957, 28.047727008835377), (-16.640382804853907, 28.060513831416834), (-16.6555120411152, 28.06285175420386))]}",88344c5151fffff,"{'type': 'Polygon', 'coordinates': [((-16.65045142938134, 28.055211014544778), (-16.65548544372549, 28.052559291440005), (-16.655472147360758, 28.04741322282841), (-16.650425425677767, 28.04491897973363), (-16.64539180021822, 28.04757048700564), (-16.645404507567942, 28.052716453182363), (-16.65045142938134, 28.055211014544778))]}",28.05006494285089,-16.650438426770172,28.050064942850877,-16.650438426770172,0,0,0,1,0,0,0
5,Aqualand costa adeje,28.08029351012779,-16.727962503248953,Parques y ocio,87344124affffff,"{'type': 'Polygon', 'coordinates': [((-16.741362756645245, 28.100094689537784), (-16.751415070295117, 28.08963541262698), (-16.746324007039178, 28.076847951504472), (-16.73118433745175, 28.074518987008574), (-16.721132175783016, 28.084976025899863), (-16.7262195309082, 28.097764266979063), (-16.741362756645245, 28.100094689537784))]}",88344124a3fffff,"{'type': 'Polygon', 'coordinates': [((-16.731219793031904, 28.08481395050994), (-16.736254731140896, 28.082158827024575), (-16.736236708457554, 28.07701129473255), (-16.73118433745175, 28.074518987008574), (-16.72614978705164, 28.077173893909194), (-16.72616721995912, 28.082321325095688), (-16.731219793031904, 28.08481395050994))]}",28.087306467430064,-16.736272755930745,28.07966641468419,-16.731202064205906,0,0,0,1,0,0,0
6,Forestal park,28.414814345407645,-16.405483918585436,Parques y ocio,87344cd11ffffff,"{'type': 'Polygon', 'coordinates': [((-16.413590719932113, 28.42159164429386), (-16.423705115108813, 28.411156878301092), (-16.418650047065555, 28.39834627031575), (-16.40348434299808, 28.39596969003274), (-16.393370155316973, 28.406402226854567), (-16.398421463401455, 28.419213572798032), (-16.413590719932113, 28.42159164429386))]}",88344cd119fffff,"{'type': 'Polygon', 'coordinates': [((-16.403477207619833, 28.421723426540378), (-16.408534479314362, 28.419082113396207), (-16.408535610245806, 28.4139311582277), (-16.403480062273033, 28.41142162325934), (-16.398423187111455, 28.41406272470819), (-16.398421463401455, 28.419213572798032), (-16.403477207619833, 28.421723426540378))]}",28.408780305888293,-16.40853674104467,28.416572473506978,-16.403478635030105,0,0,0,1,0,0,0
7,Teide,28.224445182587623,-16.627127874408604,Atracciones naturales,87344cc94ffffff,"{'type': 'Polygon', 'coordinates': [((-16.640818246640787, 28.240694279444696), (-16.650894423732492, 28.23024148633925), (-16.645811927988543, 28.21744424188546), (-16.630656981932027, 28.215099024100066), (-16.620580973945486, 28.22554958288891), (-16.625659742098588, 28.238347593450786), (-16.640818246640787, 28.240694279444696))]}",88344cc94bfffff,"{'type': 'Polygon', 'coordinates': [((-16.62564816401211, 28.23319797612724), (-16.630692592871917, 28.230547237125858), (-16.630680721169323, 28.225397726905236), (-16.625625011904276, 28.222899058747018), (-16.620580973945486, 28.22554958288891), (-16.62059225436176, 28.2306989900257), (-16.62564816401211, 28.23319797612724))]}",28.227896285990987,-16.635736822611424,28.228048464532677,-16.62563658728075,1,0,0,0,0,0,0
8,Los gigantes,28.24775679652942,-16.84041903202168,Atracciones naturales,87344122affffff,"{'type': 'Polygon', 'coordinates': [((-16.848101882598584, 28.260591958336317), (-16.858164174319676, 28.25011915822264), (-16.853046114926784, 28.237323004290406), (-16.8378694765052, 28.23499886281795), (-16.827807319634022, 28.245469428859238), (-16.83292166551288, 28.258266370119518), (-16.848101882598584, 28.260591958336317))]}",88344122a1fffff,"{'type': 'Polygon', 'coordinates': [((-16.843009196483457, 28.2529472142709), (-16.848052658224095, 28.25028731977297), (-16.848028050360544, 28.24513515876904), (-16.842960573294583, 28.242642991663292), (-16.83791749874009, 28.245302669041678), (-16.837941514075823, 28.250454730622398), (-16.843009196483457, 28.2529472142709))]}",28.247795050175995,-16.842984883465363,28.247795050176002,-16.842984883465366,1,0,0,0,0,0,0
9,Parque rural anaga,28.53311828346754,-16.250387800197498,Atracciones naturales,87346a6f2ffffff,"{'type': 'Polygon', 'coordinates': [((-16.246530245458626, 28.53955545518326), (-16.256670916568485, 28.52913455740294), (-16.25163701290722, 28.516315241135644), (-16.23646621971678, 28.51391610476726), (-16.22632578439063, 28.524334776970186), (-16.231355905669435, 28.53715481078422), (-16.246530245458626, 28.53955545518326))]}",88346a6f2dfffff,"{'type': 'Polygon', 'coordinates': [((-16.246530245458626, 28.53955545518326), (-16.251595656545398, 28.53692090096271), (-16.251605997455876, 28.531769334541934), (-16.246551520892982, 28.529252432192855), (-16.241486510180472, 28.531886776909918), (-16.241475575668847, 28.53703823345695), (-16.246530245458626, 28.53955545518326))]}",28.526735421278765,-16.241497443408974,28.534403893248555,-16.246540883800012,1,0,0,0,0,0,0
