,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
0,88344c5007fffff,1826.25,64.61,56
1,88344124b7fffff,820.25,56.54,5
2,88344c5107fffff,1361.5,60.56,9
3,88344124b3fffff,830.5,166.0,1
4,88344c5039fffff,1987.5,64.44,68
5,88344c5035fffff,2548.25,52.9,44
6,88344c5101fffff,1378.25,96.33,1
7,88344125d9fffff,1626.75,146.84,13
8,88344125d9fffff,1626.75,146.84,13
9,88344124bbfffff,952.5,27.25,4
10,88344c5161fffff,1091.25,51.1,5
11,88344c5165fffff,948.5,59.02,168
12,88344c503dfffff,2461.75,55.0,57
13,88344124b5fffff,927.5,56.47,205
14,88344124adfffff,1023.25,108.43,89
15,88344124abfffff,994.0,61.11,168
16,88344c502bfffff,1905.5,73.0,1
17,88344c513dfffff,1753.0,97.75,3
18,88344c513dfffff,1753.0,97.75,3
19,8834412497fffff,1085.25,54.15,73
20,8834412497fffff,1085.25,54.15,73
21,883441243bfffff,1352.75,66.0,1
22,88344124e5fffff,1561.0,0.2,2
23,88344c5141fffff,1441.75,20.0,1
24,88344124a9fffff,997.25,61.92,65
25,88344c5155fffff,1345.5,38.5,2
26,88344124e3fffff,1160.0,30.0,1
27,88344c5a59fffff,957.25,56.46,108
28,88344c5a59fffff,957.25,56.46,108
29,88344c5105fffff,1793.25,37.5,1
30,88344124e1fffff,1181.75,51.69,6
31,88344c5115fffff,1892.75,31.5,2
32,88344c5a5bfffff,1173.25,63.63,206
33,88344c513bfffff,1936.5,30.3,5
34,88344c5123fffff,2006.0,50.9,110
35,88344c5a5dfffff,1029.5,69.98,261
36,88344124edfffff,1677.5,46.83,11
37,88344c5ac9fffff,2013.5,60.91,39
38,8834412415fffff,1565.0,77.75,1
39,88344c5167fffff,1334.0,46.39,43
40,8834412417fffff,1693.25,38.52,8
41,8834412467fffff,1506.75,64.71,6
42,88344c5323fffff,1701.75,85.5,1
43,88344c5323fffff,1701.75,85.5,1
44,88344124bdfffff,1134.5,72.25,161
45,88344c5005fffff,2087.5,25.0,1
46,88344c5061fffff,1597.25,40.67,3
47,88344c5061fffff,1597.25,40.67,3
48,883441255dfffff,2372.25,32.5,1
49,88344c51edfffff,2086.25,34.08,14
50,88344c5a49fffff,1266.75,59.06,50
51,88344125d3fffff,1576.5,91.18,19
52,88344125d3fffff,1576.5,91.18,19
53,8834412485fffff,1378.5,78.09,38
54,88344124e9fffff,1586.75,39.73,16
55,88344124e9fffff,1586.75,39.73,16
56,8834412407fffff,1630.75,56.69,6
57,88344c5149fffff,1772.5,36.33,3
58,88344125dbfffff,1872.5,83.01,4
59,88344c512dfffff,1402.75,97.65,32
60,88344c5015fffff,1790.25,49.36,67
61,88344c5025fffff,2055.25,41.05,11
62,88344c5111fffff,2131.5,54.5,9
63,8834412435fffff,1696.0,109.86,7
64,8834412435fffff,1696.0,109.86,7
65,8834412435fffff,1696.0,109.86,7
66,8834412435fffff,1696.0,109.86,7
67,88344c5335fffff,1816.75,68.82,6
68,88344c5a4bfffff,1126.25,62.3,251
69,8834412423fffff,1725.0,51.11,8
70,88344c5139fffff,2191.5,26.0,1
71,8834412551fffff,2300.0,60.33,2
72,88344125cbfffff,1729.75,41.83,32
73,88344c5135fffff,2209.0,89.0,1
