,hex_id,value,geometry
0,87344c506ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.63032521505915, 28.070962000415552), (-16.640382804853907, 28.060513831416834), (-16.63531183541957, 28.047727008835377), (-16.62018698942351, 28.045387585892602), (-16.610129569810518, 28.05583351630044), (-16.615196825205278, 28.068621107912765), (-16.63032521505915, 28.070962000415552))]}"
1,87344cd30ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.398397310224414, 28.49133619751124), (-16.408520897787337, 28.480901566889653), (-16.403464353392277, 28.468086615966), (-16.388287987686752, 28.465705560629708), (-16.37816461047089, 28.476137963923264), (-16.383217387805978, 28.48895364954864), (-16.398397310224414, 28.49133619751124))]}"
2,87344cca0ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.53985591377515, 28.273078493095195), (-16.549943584013988, 28.26263461625533), (-16.54487601412658, 28.249834324394936), (-16.529724511099406, 28.24747715429051), (-16.519637026792036, 28.2579187978363), (-16.52470085877237, 28.270719844450127), (-16.53985591377515, 28.273078493095195))]}"
3,87344136bffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.651077346020422, 28.302348579594234), (-16.66115978947108, 28.29189353846526), (-16.65607202543449, 28.27909263397321), (-16.640905549176434, 28.276746004556745), (-16.630823273369437, 28.287198812920227), (-16.635907305362956, 28.300000483136838), (-16.651077346020422, 28.302348579594234))]}"
4,87344c51cffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.64029593006204, 28.024493568877382), (-16.65034745100262, 28.01404548559552), (-16.64527750082959, 28.001261688555417), (-16.63015973829006, 27.998925203291567), (-16.62010838571066, 28.009371046797764), (-16.62517462650387, 28.022155615014473), (-16.64029593006204, 28.024493568877382))]}"
5,87344cd83ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.54502004951377, 28.357987519937538), (-16.55511706438504, 28.34754143939309), (-16.550043739459994, 28.334736024596786), (-16.53487714359683, 28.332375936732642), (-16.524780314161607, 28.34281978614076), (-16.52984989434292, 28.355625954218965), (-16.54502004951377, 28.357987519937538))]}"
6,87344cd26ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.347782640585685, 28.507430503500995), (-16.357911936864376, 28.4970004370216), (-16.352862929152664, 28.484184019550707), (-16.337688396539612, 28.481796939237817), (-16.327559319084052, 28.492224778960466), (-16.332604554612814, 28.5050419254195), (-16.347782640585685, 28.507430503500995))]}"
7,873441273ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.792200616377187, 28.19196164334497), (-16.802259449497967, 28.181495578282192), (-16.797154642697148, 28.168702989978797), (-16.781994713962494, 28.166375683309216), (-16.771936024732096, 28.176839512612922), (-16.77703711952877, 28.189632884018568), (-16.792200616377187, 28.19196164334497))]}"
8,87344ccd3ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.509380494559828, 28.08820781666332), (-16.519449339777207, 28.077770711710098), (-16.5143974640425, 28.06498157779247), (-16.499280466794318, 28.06262879254741), (-16.489211811744422, 28.073063659584616), (-16.494259962973672, 28.08585354945196), (-16.509380494559828, 28.08820781666332))]}"
9,87344cd98ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.575305164875168, 28.326647019207712), (-16.585396250401843, 28.316198682897827), (-16.580319690266567, 28.303395489750837), (-16.56515578360114, 28.30103987538045), (-16.555064878363652, 28.311485979687664), (-16.560137698691296, 28.324289930037985), (-16.575305164875168, 28.326647019207712))]}"
10,87344ccf0ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.469102373513394, 28.165971886818216), (-16.4791831899054, 28.155536953039018), (-16.4741335527772, 28.1427425611935), (-16.459006832527567, 28.14038235292272), (-16.44892621327969, 28.150815050849676), (-16.45397211633548, 28.163610192568132), (-16.469102373513394, 28.165971886818216))]}"
11,87346a68affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.3173829145305, 28.53871600271026), (-16.32751812936122, 28.528288288007655), (-16.322472409295035, 28.515469704770332), (-16.307295250706073, 28.513078110862008), (-16.29716025990063, 28.523503599717625), (-16.302202202853817, 28.536322907994887), (-16.3173829145305, 28.53871600271026))]}"
12,87344ccd4ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.49933893087548, 28.134664870306853), (-16.50941385535462, 28.12422772467603), (-16.50436098412208, 28.111435583508776), (-16.48923691678852, 28.10907983385023), (-16.479162184332406, 28.119514742762625), (-16.484211326384465, 28.13230763772091), (-16.49933893087548, 28.134664870306853))]}"
13,873441243ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.756642258780563, 28.138463790808192), (-16.766697760150723, 28.128002234802764), (-16.761601946192883, 28.115212555793597), (-16.74645434025297, 28.112883651815057), (-16.7363989884729, 28.12334297074947), (-16.741491092228543, 28.136133430406186), (-16.756642258780563, 28.138463790808192))]}"
14,87344cd80ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.539993806657655, 28.381240457648065), (-16.55009387881622, 28.370794395385346), (-16.54502004951377, 28.357987519937538), (-16.52984989434292, 28.355625954218965), (-16.51975000855183, 28.36606978595229), (-16.524820090753117, 28.378877413603135), (-16.539993806657655, 28.381240457648065))]}"
