,0,1,2,3,4
19085904,Estudio LOVE Sotavento. En la playa. Vista mar,https://www.airbnb.es/rooms/19085904?adults=2&children=0&infants=0&check_in=2022-05-09&check_out=2022-05-16&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491262_ppM2fe%2F%2B5RmvlTv%2B,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.0306,-16.5639']",40€ 
20282906,Estudio / 20 Metros del Mar,https://www.airbnb.es/rooms/20282906?adults=2&children=0&infants=0&check_in=2022-05-30&check_out=2022-06-06&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491274_yYv0DfNZkqtUb1QC,2 huéspedes · Estudio · 2 camas · 1 baño,"['28.02766,-16.59156']",37€
19648756,"On the beach, at the sunshine of Blue Ocean",https://www.airbnb.es/rooms/19648756?adults=2&children=0&infants=0&check_in=2022-05-31&check_out=2022-06-07&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491285_Pf9eh4TtTKkd34iI,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03001,-16.56352']",55€ 
36446981,Ático con vistas increíbles a La Tejita,https://www.airbnb.es/rooms/36446981?adults=2&children=0&infants=0&check_in=2022-05-24&check_out=2022-05-31&federated_search_id=d8a56c23-94d2-47c8-8151-25de14ee178b&source_impression_id=p3_1646508616_%2F%2BcPGoOHsb5liZVc,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03386,-16.56276']",57€ 
21902139,Estudio cerca del mar,https://www.airbnb.es/rooms/21902139?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491310_LDBbZRrZtAwlh8H3,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.02906,-16.59551']",40€ 
47070111,Estudio nuevo con vista mar,https://www.airbnb.es/rooms/47070111?adults=2&children=0&infants=0&check_in=2022-05-11&check_out=2022-05-18&federated_search_id=d8a56c23-94d2-47c8-8151-25de14ee178b&source_impression_id=p3_1646508640_ki4t0WsYlBuvL6Kc,2 huéspedes · Estudio · 1 cama · 1 baño,"['28.03409,-16.56127']",40€
23279782,Apartamento de 1 dormitorio cerca de la playa de Tejita,https://www.airbnb.es/rooms/23279782?adults=2&children=0&infants=0&check_in=2022-05-13&check_out=2022-05-20&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491333_z6vXDAr72MVwv7qV,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03348,-16.56568']",36€ 
31728566,Apartamento de 1 dormitorio en La Tejita (El Medano),https://www.airbnb.es/rooms/31728566?adults=2&children=0&infants=0&check_in=2022-05-15&check_out=2022-05-22&federated_search_id=d8a56c23-94d2-47c8-8151-25de14ee178b&source_impression_id=p3_1646508664_rbnRCDj1A2D7rXVR,4 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.0344,-16.5623']",41€
11698113,Acogedor apartamento para un agradable descanso,https://www.airbnb.es/rooms/11698113?adults=2&children=0&infants=0&check_in=2022-05-29&check_out=2022-06-05&federated_search_id=bfa5f280-9bd3-458d-9893-d1188f0d71a3&source_impression_id=p3_1646491357_o5X6wj6X7643kZ9Z,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03362,-16.56389']",34€
33696962,Villa Moleiro-La Tejita,https://www.airbnb.es/rooms/33696962?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=b66ded8f-3a50-49ee-a88d-6e0939a4eca0&source_impression_id=p3_1646491737_DjYSttuDR%2Fps%2FTHC,4 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.03317,-16.564']",52€
