,0,1,2,3,4
31712630,Céntrico estudio junto al Parque García Sanabria,https://www.airbnb.es/rooms/31712630?adults=2&children=0&infants=0&check_in=2022-05-27&check_out=2022-06-01&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564688_%2B%2BKuzm3PfXPJf%2F8Z,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,[],47€
15592971,LR81 - Apartamento Céntrico con Wi-Fi,https://www.airbnb.es/rooms/15592971?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564700_nu8ZrNEeJOn6nq2X,3 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.4737,-16.2482']",37€
37107183,ACOGEDOR Y LUMINOSO ESTUDIO EN SANTA CRUZ,https://www.airbnb.es/rooms/37107183?adults=2&children=0&infants=0&check_in=2022-05-14&check_out=2022-05-21&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564712_zI0TOQRNYxFHaffn,"2 huéspedes · 1 dormitorio · 1 cama · 1,5 baños","['28.4746,-16.2499']",45€ 
40985063,Reencuentros. Limpieza según protocolos anti Covid,https://www.airbnb.es/rooms/40985063?adults=2&children=0&infants=0&check_in=2022-05-16&check_out=2022-05-23&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564724_DkO%2BsC9yPjHrJVgE,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.47502,-16.24787']",40€ 
3214556?,Dynamic Toscal,https://www.airbnb.es/rooms/3214556?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564735_50XjfPie4ClyhSqB,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.47241,-16.24931']",35€ 
10454152,APARTAMENTO ANEXO TOTALMENTE INDEPENDIENTE,https://www.airbnb.es/rooms/10454152?adults=2&children=0&infants=0&check_in=2022-05-21&check_out=2022-05-28&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564748_rmbDIWbmMkmOrDpA,2 huéspedes · 1 dormitorio · 3 camas · 1 baño,"['28.47287,-16.247']",29€
14208698,Acogedor Apartamento Estudio + Terraza,https://www.airbnb.es/rooms/14208698?adults=2&children=0&infants=0&check_in=2022-05-26&check_out=2022-06-02&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564760_Zorhc%2FxImuG7LphH,2 huéspedes · 1 dormitorio · 1 cama · 1 baño,"['28.47327,-16.249']",42€ 
21610855,Acogedor y tranquilo apartamento en el centro de la ciudad,https://www.airbnb.es/rooms/21610855?adults=2&children=0&infants=0&check_in=2022-05-28&check_out=2022-06-04&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564772_E3VmDjGEWuBtNcc8,3 huéspedes · 2 dormitorios · 2 camas · 1 baño,"['28.4752,-16.2538']",65€
32277361,Dynamic Toscal,https://www.airbnb.es/rooms/32277361?adults=2&children=0&infants=0&check_in=2022-05-08&check_out=2022-05-15&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564784_0P0Oa3Cm%2BMg4EnNJ,4 huéspedes · 2 dormitorios · 3 camas · 1 baño,"['28.4724,-16.2476']",35€ 
19755527,Estudio con piscina en zona centro de Santa Cruz,https://www.airbnb.es/rooms/19755527?adults=2&children=0&infants=0&check_in=2022-05-02&check_out=2022-05-09&federated_search_id=49f8e5ae-aa4d-4acd-8128-115e3e11956e&source_impression_id=p3_1646564798_Np1i%2BsYGvnyL5qjS,2 huéspedes · 1 dormitorio · 2 camas · 1 baño,"['28.47215,-16.261']",66€ 
